"Qty","Value","Part Num","Package","Parts"
"1","","0.1" HEADER 1X4","1X04","J2"
"2","","0.1" HEADER 1X10","1X10","J1, J3"
"1","0.1uF","0.1UF, 0603","CAPC1608X92N","C8"
"1","0u1","0U1, 0603","CAPC1608X92N","C4"
"1","1uF","1UF, 0603","CAPC1608X92N","C9"
"1","1uF","1UF, 0805","CAPC2012X145AN","C3"
"1","2K","2K, 0603","RESC1608X55N","R4"
"4","3V3 Zener","BZT52C3V3","SOD-123","D1, D2, D3, D4"
"2","4K7","4K7, 0603","RESC1608X55N","R3, R5"
"1","10K","10K, 0603","RESC1608X55N","R1"
"1","10uF","10UF/10V X5R 0805","CAPC2012X145AN","C1"
"3","22pF","22PF, 0603","CAPC1608X92N","C5, C6, C10"
"1","25MHz","25MHZ FUND. HC49","SM49","X1"
"2","220R","CAT16-221J4","CAT16","RN1, RN2"
"1","330R","330R, 0603","RESC1608X55N","R7"
"2","475R","475R, 0603","RESC1608X55N","R2, R6"
"1","3904","MMBT3904","SOT95P280X135-3N","Q1"
"1","CC-BY-NC75%","*","CC-BY-NC-75","U$1"
"1","MCP1700/TT","MCP1700T-3302E/TT","SOT95P280X135-3N","U1"
"1","STM32F030F4P6","STM32F030F4P6","TSSOP20","U2"
